Id,DocumentId,Name,Description,Keywords,,,,,,,,,,,,,,,,,,,,,,,,
1228,figshare11752752,Comparative model of novel coronavirus 2019-nCoV protease Mpro,"<div>Comparative model summary: This is protease Mpro encoded in the RNA of the novel coronavirus 2019-nCoV. This virus first reported in 2019 and now spreading from Wuhan, China, the primary location outbreak. The protein sequence was determined based on the data from the Wuhan seafood market pneumonia virus genome (NCBI genome ID MN908947, GenBank: MN908947.3) published by Wu Et al. (LOCUS MN90894, 23-JAN-2020) by multiple sequences alignments with known SARS proteases. Aligning the sequence region of 2019-nCoV, “orf1ab polyprotein“ with the sequence of PDB 5N5O, the SARS main protease deposited by Zhang and Hilgenfeld in 2017 yield a protease with 306 amino acids. The sequence identity compared to 2H2Z, another SARS crystal structure, published by the Rao lab in 2006 is 96.1 %, similarity is 98.7 % with 100% aligned residues. The model is expected to be of high accuracy.</div><div><br></div><div>Update:</div><div>The crystal structure of the protease of our partner Prof. Yang group from ShanghaiTech is oficially released: https://www.rcsb.org/structure/6LU7 and now included in the dataset.<br></div>","2019-nCoV,Bioinformatics,China,Comparative model,Mpro,Virology,Wuhan,coronavirus,homology model,protease",,,,,,,,,,,,,,,,,,,,,,,,
1229,figshare11806065,PRISMA Scoping Review checklist for Nowak and Walkowiak 2020,"<p>PRISMA Scoping Review checklist for a research note, Lithium: a potential treatment for the novel Wuhan (2019-nCoV) coronavirus?"""," submitted by J.K. Nowak and J. Walkowiak to F1000Research.</p>""","2019-nCoV,Evolutionary Biology,Pharmacology,Science Policy,coronavirus,lithium,lithium carbonate,prophylaxis,treatment",,,,,,,,,,,,,,,,,,,,,,,
1230,figshare11848224,Extended data for 2019-nCoV,The data in this dataset support the findings in the paper entitled Genomic and protein structure modelling analysis depicts the origin and pathogenicity of 2019-nCoV, a new coronavirus which caused a pneumonia outbreak in Wuhan," China""""","2019-nCoV,COVID-19,Genetics,Infectious Diseases,Microbiology,evolution,phylogenetics",,,,,,,,,,,,,,,,,,,,,,
1231,figshare11860929,Molecular and serological investigation of 2019-nCoV infected patients: implication of multiple shedding routes,"<p>In December 2019, a novel coronavirus (2019-nCoV) caused an outbreak in Wuhan, China, and soon spread to other parts of the world. It was believed that 2019-nCoV was transmitted through respiratory tract and then induced pneumonia, thus molecular diagnosis based on oral swabs was used for confirmation of this disease. Likewise, patient will be released upon two times of negative detection from oral swabs. However, many coronaviruses can also be transmitted through oral–fecal route by infecting intestines. Whether 2019-nCoV infected patients also carry virus in other organs like intestine need to be tested. We conducted investigation on patients in a local hospital who were infected with this virus. We found the presence of 2019-nCoV in anal swabs and blood as well, and more anal swab positives than oral swab positives in a later stage of infection, suggesting shedding and thereby transmitted through oral–fecal route. We also showed serology test can improve detection positive rate thus should be used in future epidemiology. Our report provides a cautionary warning that 2019-nCoV may be shed through multiple routes.</p>","2019-nCoV,Biological Sciences not elsewhere classified,Biotechnology,Cancer,Chemical Sciences not elsewhere classified,Computational  Biology,Ecology,Immunology,Infectious Diseases,Medicine,Microbiology,Space Science,Virology,Wuhan pneumonia,epidemiology,intestine,swabs",,,,,,,,,,,,,,,,,,,,,,,,
1232,figshare11912166,"Emerging novel coronavirus (2019-nCoV)—current scenario, evolutionary perspective based on genome analysis and recent developments","<p>Coronaviruses are the well-known cause of severe respiratory, enteric and systemic infections in a wide range of hosts including man, mammals, fish, and avian. The scientific interest on coronaviruses increased after the emergence of Severe Acute Respiratory Syndrome coronavirus (SARS-CoV) outbreaks in 2002-2003 followed by Middle East Respiratory Syndrome CoV (MERS-CoV). This decade’s first CoV, named 2019-nCoV, emerged from Wuhan, China, and declared as ‘Public Health Emergency of International Concern’ on January 30<sup>th</sup>, 2020 by the World Health Organization (WHO). As on February 4, 2020, 425 deaths reported in China only and one death outside China (Philippines). In a short span of time, the virus spread has been noted in 24 countries. The zoonotic transmission (animal-to-human) is suspected as the route of disease origin. The genetic analyses predict bats as the most probable source of 2019-nCoV though further investigations needed to confirm the origin of the novel virus. The ongoing nCoV outbreak highlights the hidden wild animal reservoir of the deadly viruses and possible threat of spillover zoonoses as well. The successful virus isolation attempts have made doors open for developing better diagnostics and effective vaccines helping in combating the spread of the virus to newer areas.</p>","2019-nCoV,Biological Sciences not elsewhere classified,Biotechnology,Coronavirus,Ecology,Environmental Sciences not elsewhere classified,Evolutionary Biology,Infectious Diseases,Medicine,Middle East Respiratory Syndrome CoV,Public Health Emergency,Science Policy,Severe Acute Respiratory Syndrome CoV,Virology,genetic analyses,reservoir host,therapeutics,vaccines,zoonoses",,,,,,,,,,,,,,,,,,,,,,,,
1233,figshare11949279,"Epidemiological data from the COVID-19 outbreak, real-time case information",This database includes confirmed cases of COVID-19 in line list format. It spans the timeframe between 1 December 2019 to 5 February 2020.,"COVID-19,Epidemiology,Line List Epidemiological Data,Real-time Outbreak Data",,,,,,,,,,,,,,,,,,,,,,,,
1234,figshare11954889,"Data supporting figures, tables and supplementary information in the published article: Characterization of spike glycoprotein of SARS-CoV-2 on virus entry and its immune cross-reactivity with SARS-CoV","This dataset comprises a single Excel .xlsx spreadsheet with 29 tabs. The data are western blot images and quantitative data characterising spike glycoprotein of SARS-CoV-2 on virus entry and its immune cross-reactivity with SARS-CoV. The data underlie the figures, table and supplementary figures of the related manuscript.<div><br></div><div>The 29 tabs are as follows. (NOTE: Western blot images do not display in figshare viewer: please download the spreadsheet to view these)<div><div>- Western blots for incorporation of SARS-CoV-2 S protein into pseudovirions.</div><div>(<b>Figure 1B, </b><b>Figure 1C, </b><b>Figure 1D, </b><b>Figure 1E, </b><b>Figure 1F</b>, <b>Figure 1G, </b><b>Figure 1H, </b><b>Figure 1I, </b><b>Figure 1J</b>)</div><div>- Entry and receptor of SARS-CoV-2 S pseudovirons.</div><div>(<b>Figure 2A, </b><b>Figure 2B, Figure 2D</b>)</div><div>- Endocytosis of SARS-CoV-2 S pseudovirions on 293/hACE2 cells.</div><div>(<b>Figure 3A, </b><b>Figure 3B</b><b>, </b><b>Figure 3C</b><b>, </b><b>Figure 3D</b><b>, </b><b>Figure 3E</b><b>, </b><b>Figure 3F</b>)</div><div>-  Activation of SARS-CoV-2 S protein by cathepsin and trypsin.</div><div>(<b>Figure 4A, </b><b>Figure 4C, </b><b>Figure 4D, </b><b>Figure 4E</b>)</div><div>- Characterization of polyclonal rabbit anti-SARS S1 antibodies T62.</div><div>(<b>Figure 5B, Figure 5E</b>)</div><div>- Limited cross-neutralization of SARS-CoV and COVID-19 sera.</div><div>(<b>Figure 6A, </b><b>Figure 6B</b>)</div><div>- Neutralization activities of antisera from SARS-CoV and COVID-19 patients.</div><div>(<b>Table 1</b>)</div><div>- Treatment of cells with 130, a TRPML1 inhibitor.</div><div>(<b>Supplementary Figure 1</b>)</div><div>- Expressing type II membrane serine protease (TMPRSS) 2, 4, 11A, 11D, and 11E on 293/hACE2 cells.</div><div>(<b>Supplementary Figure 3</b>).</div><div><b><br></b></div><div>In the related publication, the authors use a lentiviral pseudotype system and determine cell type susceptibility, virus receptor, entry pathway and protease priming for SARS-CoV-2. They also identify several potential drug targets for SARS-CoV-2.</div><div><br></div></div></div>","2019-nCoV,Biological Sciences not elsewhere classified,COVID-19,CoV,MERS-CoV,Microbiology,SARS-CoV,SARS-CoV-2,Virology,beta coronavirus,coronavirus,hACE2,human angiotensin converting enzyme 2,immune cross-reactivity,spike glycoprotein,virus entry",,,,,,,,,,,,,,,,,,,,,,,,
1235,figshare11961063,"Dimensions COVID-19 publications, datasets and clinical trials","<p>This file contains all relevant publications, datasets and clinical trials from Dimensions that are related to COVID-19. The content has been exported from Dimensions using a query in the openly accessible Dimensions application, which you can access at <a href=https://covid-19.dimensions.ai/"">https://covid-19.dimensions.ai/</a>.		</p><p>	</p><p>Dimensions is updated once every 24 hours", so the latest research can be viewed alongside existing information. With its range of research outputs including datasets and clinical trials, both of which are just as important as journal articles in the face of a potential pandemic, Dimensions is a one-stop shop for all COVID-19 related information. </p><p><br></p><p>Please share this information with anyone you think would benefit from it. If you have any suggestions as to how we can improve our search terms to maximise the volume of research related to COVID-19," please contact us at <a href=""mailto:support@dimensions.ai"">support@dimensions.ai</a>.</p>""","COVID-19,Medical Virology,Medical and Health Sciences not elsewhere classified,Novel coronavirus,Virology",,,,,,,,,,,,,,,,,,,,
1236,figshare11987154,COVID-19 Dimensions dataset for CiteSpace,Dimensions.ai COVID-19 dataset preprocessed with CiteSpace.<br>,"COVID-19,CiteSpace,Informetrics,Library and Information Studies,SARS-CoV-2,coronavirus",,,,,,,,,,,,,,,,,,,,,,,,
1237,figshare11988057,"Era of molecular diagnosis for pathogen identification of unexplained pneumonia, lessons to be learned","<p>Unexplained pneumonia (UP) caused by a novel coronavirus SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) emerged in China in late December 2019 and has infected more than 9000 cases by 31 January 2020. Shanghai reported the first imported case of COVID-19 (Coronavirus Disease 2019) in 20 January 2020. A combinative approach of real-time RT–PCR, CRISPR-based assay and metagenomic next-generation sequencing (mNGS) were used to diagnose this unexplained pneumonia patient. Real-time RT–PCR and CRISPR-based assay both reported positive. This sample belonged to Betacoronavirus and shared a more than 99% nucleotide (nt) identity with the Wuhan SARS-CoV-2 isolates. We further compared pros and cons of common molecular diagnostics in UP. In this study, we illustrated the importance of combining molecular diagnostics to rule out common pathogens and performed mNGS to obtain unbiased potential pathogen result for the diagnosis of UP.</p>","Biological Sciences not elsewhere classified,Biotechnology,COVID-19,Cancer,Computational  Biology,Environmental Sciences not elsewhere classified,Genetics,Infectious Diseases,Medicine,Mental Health,Microbiology,Molecular Biology,SARS-CoV-2,Sociology,Unexplained pneumonia,Virology,diagnosis,molecular",,,,,,,,,,,,,,,,,,,,,,,,
1238,figshare11993181,Emerging COVID-19 coronavirus: glycan shield and structure prediction of spike glycoprotein and its interaction with human CD26,"<p>The recent outbreak of pneumonia-causing COVID-19 in China is an urgent global public health issue with an increase in mortality and morbidity. Here we report our modelled homo-trimer structure of COVID-19 spike glycoprotein in both closed (ligand-free) and open (ligand-bound) conformation, which is involved in host cell adhesion. We also predict the unique N- and O-linked glycosylation sites of spike glycoprotein that distinguish it from the SARS and underlines shielding and camouflage of COVID-19 from the host the defence system. Furthermore, our study also highlights the key finding that the S1 domain of COVID-19 spike glycoprotein potentially interacts with the human CD26, a key immunoregulatory factor for hijacking and virulence. These findings accentuate the unique features of COVID-19 and assist in the development of new therapeutics.</p>","Biochemistry,Biophysics,CD26,Cancer,Coronavirus,Medicine,Mental Health,Neuroscience,Pharmacology,Virology,docking,glycosylation,spike glycoprotein",,,,,,,,,,,,,,,,,,,,,,,,
1239,figshare11997969,Transmissibility of COVID-19 and its association with temperature and humidity,"<p>These are the corresponding data in the research article:</p><p>Xiao-Jing Guo, Hui Zhang, Yi-Ping Zeng et al. Transmissibility of COVID-19 and its association with temperature and humidity, 17 March 2020, PREPRINT (Version 1) available at Research Square [+https://doi.org/10.21203/rs.3.rs-17715/v1+]</p><p>R0calculation.xlsx"" contains the calculation results of the basic reproduction number R<sub>0</sub> from January 24", 2020 to February 13," 2020 in 11 major cities in China.</p><p>""R0TemperatureHumidity.xlsx"" contains the basic reproduction number", temperature and humidity from January 24, 2020 to February 13," 2020 in 4 major cities in China.</p><p>More details can be seen in the article.</p>""","Basic reproduction number,COVID-19,Epidemiology,Humidity,Temperature,Transmissibility",,,,,,,,,,,,,,,,,,,
1240,figshare12009789,"1 microsecond simulation of nCoV 6LU7 using the dimeric form,",This protein was simulated without its cocrystallized ligand. <div>Simulation time was 1 microsecond. The protein was parametrized using ff19SB and OPC water. </div><div><br></div><div>Trajectories are shared as dcd charms files without water or counterion molecules.</div>,"COVID-19,Molecular dynamics,Structural Biology (incl. Macromolecular Modelling),nCoV",,,,,,,,,,,,,,,,,,,,,,,,
1241,figshare12011127,Extended Data.docx,"<p>Extended data section for Chloroquine prevention of coronavirus disease (COVID-19) in the healthcare setting; protocol for a randomised, placebo-controlled prophylaxis study (COPCOV)</p>","COVID-19,Medicine",,,,,,,,,,,,,,,,,,,,,,,,
1242,figshare12011940,"Targeting the Coronavirus SARS-CoV-2: computational insights into the mechanism of action of the protease inhibitors Lopinavir, Ritonavir, and Nelfinavir.","<p>This dataset consists of three videos in<b> .mp4 </b>format. The videos were generated using the computational technique of Supervised Molecular Dynamics (SuMD) to provide molecular insight on the whole interaction pathway of lopinavir, ritonavir, and nelfinavir, three potential C30 Endopeptidase inhibitors, with the last one taken into consideration due to the promising in-vitro activity shown against the structurally related SARS-CoV protease.</p><p>These videos are supporting materials for the related publication.<br></p><p><br></p><p>Details of each video are as follows:</p><p>- <b>Video_1: Lopinavir binding pathway against SARS-CoV-2 main protease.</b><br></p><p>The video is composed of four synchronized and animated panels that summarized a putative molecular recognition mechanism of HIV protease inhibitor <b>Lopinavir </b>against SARS-CoV-2 main protease. In the first panel (upper-left), the SuMD binding trajectory is reported. The backbone of SARS-CoV-2 main protease is represented using ribbon style (pink colour) and the protein residues within 4 Å of <b>Lopinavir </b>(rendered by green carbon atoms) are dynamically shown. In the second panel (upper-right), the distance between the inhibitor center of mass (CM) and the protein catalytic binding site during the entire trajectory is reported. The time evolution is reported in a ns scale. In the third panel (lower-left), the MMGBSA energy profile describing the binding event is reported. In the fourth panel (lower-right) cumulative electrostatic interactions are reported for the 15 protease residues most contacted by <b>Lopinavir </b>during the whole binding simulation.</p><p>- <b>Video_2: Ritonavir binding pathway against SARS-CoV-2 main protease.</b><br></p><p>As above, but for the protease inhibitor <b>Ritonavir </b>against SARS-CoV-2 main protease. The protein residues within 4 Å of <b>Ritonavir </b>are rendered by orange carbon atoms.</p><p>- <b>Video_3: Nelfinavir binding pathway against SARS-CoV-2 main protease.</b><br></p><p>As above, but for the protease inhibitor <b>Nelfinavir </b>against SARS-CoV-2 main protease. The protein residues within 4 Å of <b>Nelfinavir </b>are rendered by cyan carbon atoms.</p><p><br></p><p><b>Software</b></p><p>All the SuMD trajectories have been carried out using AceMD engine and analyzed by an in-house tool written in tcl and python programming languages. MMGBSA protocol as implemented in AMBER 2014 was exploited to estimate protein-ligand interaction energy. NAMD engine was used for post-processing computation of electrostatic interactions, using AMBER ff14SB forcefield.<br></p><div><br></div>","2019-nCoV,C30 Endopeptidase,COVID-19,COVID-2019,Molecular Biology,Pharmaceutical Sciences,Pharmacology and Pharmaceutical Sciences not elsewhere classified,SARS-CoV-2,SuMD,Supervised Molecular Dynamics,Virology,coronavirus,lopinavir,molecular modeling,ritonavir",,,,,,,,,,,,,,,,,,,,,,,,
1243,figshare12015477,Suitability Map of COVID-19 Virus Spread,"<p>This image reports a Maximum Entropy model that estimates <em>suitable </em>locations for COVID-19 spread, i.e. places that could favour the spread of the virus just in terms of environmental parameters.</p>

<p>The model was trained just on locations in <em>Italy </em>that have reported a rate of new infections higher than the geometric mean of all Italian infection rates. The following environmental parameters were used, which are correlated to those used by other studies:</p>

<ul>
	<li>Average Annual Surface Air Temperature in 2018 (NASA)</li>
	<li>Average Annual Precipitation in 2018 (NASA)</li>
	<li>CO2 emission (natural+artificial) averaged between January 1979 and December 2013 (Copernicus Atmosphere Monitoring Service)</li>
	<li>Elevation (NOAA ETOPO2)</li>
	<li>Population per 0.5° cell (NASA Gridded Population of the World)</li>
</ul>

<p>A higher resolution map, the model file (in ASC format) and all parameters used are also attached.</p>

<p>The model indicates highest correlation with <em>infection rate</em> for CO2 around 0.03 gCm^−2day^−1, for Temperature around 11.8 °C, and for Precipitation around 0.3 kg m^-2  s^-1, whereas Elevation and Population density are poorly correlated with <em>infection rate</em>.</p>

<p><strong>One interesting result is that the model indicates, among others, the Hubei region in China as a high-probability location</strong>, <strong>and Iran (around Teheran) as a suited location for virus' spread, but the model was not trained on these regions, i.e. it did not know about the actual spread in these regions.</strong></p>","CO2,COVID-19,Carbon Dioxide,Cell Biology,Corona virus,Coronavirus,Ecology,Evolutionary Biology,Genetics,Immunology,Infectious Diseases,Maximum Entropy,Microbiology,Neuroscience,Plant Biology,Precipitation,Science Policy,Temperature",,,,,,,,,,,,,,,,,,,,,,,,
1244,figshare12017562,Extended data SPIRIT Checklist,SPIRIT Checklist for COPCOV,"COVID-19,Infectious Diseases",,,,,,,,,,,,,,,,,,,,,,,,
1245,figshare12019035,How blood group A might be a risk and blood group O be protected from SARS-CoV-2 (COVID-19) infections (how the virus invades the human body via ABO(H) blood group carbohydrates).,"<p></p><p>Infection does not mean disease because for
uncountable reasons the invasion of a pathogen does not always lead to disease
symptoms. The
molecular biology of a virus infection pathogenesis determines the genetic
target and the human phenotype-determining enzymes decide about the difference between infection and disease. In the case that <i>O</i>-glycosylation
plays a key role in the pathogenesis of coronavirus infections, as was discussed
already 14 years ago in a SARS-CoV virus infection and is currently again predicted for SARS-CoV-2 or COVID-19, this would involve the formation of hybrid, serologically
A-like, <i>O</i>-GalNAcα1-Ser/Thr-R, Tn (“T
nouvelle”) antigenic structures. Although the ACE2 (angiotensin-converting-enzyme 2) protein
is defined as the primary SARS-CoV receptor, it is the history of the amino acid serine, suggesting the actual or additional binding via an intermediate hybrid <i>O</i>-glycan: the TMPRSS2 (transmembrane
protease serine subtype 2) host protease-mobilized, virus-encoded serine molecule gets access to the host's N-acetyl-D-galactosamine (GalNAc) metabolism and the resulting intermediate, hybrid A-like/Tn structure performs the
adhesion of the virus to host cells primarily independent of the ABO blood
group, while the phenotype-determining sugars become the final glycosidic target. Individuals with blood
group A and B cannot respond with preformed innate antibodies to the synthesis of A-like/Tn structures due to phenotypic accommodation of plasma
proteins but perform a further (blood group-A- and/or B-specific) hybrid binding, most
likely causing autoimmune reactions. A first statistical
study suggests that people with blood group A have a significantly higher risk
for acquiring COVID-19, whereas people with blood group O have a significantly
lower risk for the infection compared with non-O blood groups (Zhao, J. <i>et al., 2020). </i>SARS-Cov-2 (COVID-19) infections may
be considered an evolutionary selective disease, contributing to the present-day world distribution of the human ABO(H)
blood groups, which has arisen through blood group-related life-threatening
diseases<sup> </sup>over millions of
years. While the synthesis of
the blood group AB enables the strongest contact with a pathogen and molecularly
precluding any isoagglutinin activity, makes this group the least protected and
the smallest among the ABO blood groups, blood group O(H) individuals develop
the least contact with the pathogen; maintaining the isoagglutinins, they rarer
develop severe disease and survive this coevolution in an immunological balance
with a pathogen as the largest blood group worldwide. However, it might be speculated that for an unknown period of time they remain pathogen carriers and belong to the main drivers of SARS-CoV-2 pandemic.</p><p><i><br></i></p><p></p><p><b>Reference</b>: Zhao, J. <i>et al.</i> Relationship between the ABO Blood Group and the COVID-19 Susceptibility. <i>medRxiv</i> (2020) doi:10.1101/2020.03.11.20031096.<br></p><p></p><p>

</p><p> </p><p>

</p><p> </p><p></p>","Coronavirus,Humoural Immunology and Immunochemistry,Immunogenetics (incl. Genetic Immunology),Innate Immunity,Innate Immunity Contributes,Medical Bacteriology",,,,,,,,,,,,,,,,,,,,,,,,
