Id,CategoryId,DatasetId,UserCompletedDatasetId,Rank,UserId
2156,101,1228,432,1,83
2157,100,1228,432,2,83
2158,100,1228,432,3,83
2159,100,1228,432,4,83
2160,100,1228,432,5,83
2161,129,1229,433,1,84
2162,102,1229,433,2,84
2163,100,1229,433,3,84
2164,100,1229,433,4,84
2165,100,1229,433,5,84
2166,120,1228,434,1,84
2167,100,1228,434,2,84
2168,100,1228,434,3,84
2169,100,1228,434,4,84
2170,100,1228,434,5,84
2171,120,1230,435,1,84
2172,119,1230,435,2,84
2173,100,1230,435,3,84
2174,100,1230,435,4,84
2175,100,1230,435,5,84
2176,110,1231,436,1,84
2177,126,1231,436,2,84
2178,100,1231,436,3,84
2179,100,1231,436,4,84
2180,100,1231,436,5,84
2181,129,1241,437,1,84
2182,122,1241,437,2,84
2183,100,1241,437,3,84
2184,100,1241,437,4,84
2185,100,1241,437,5,84
2186,111,1233,438,1,84
2187,100,1233,438,2,84
2188,100,1233,438,3,84
2189,100,1233,438,4,84
2190,100,1233,438,5,84
2191,125,1239,439,1,84
2192,111,1239,439,2,84
2193,100,1239,439,3,84
2194,100,1239,439,4,84
2195,100,1239,439,5,84
2196,100,1244,440,1,84
2197,100,1244,440,2,84
2198,100,1244,440,3,84
2199,100,1244,440,4,84
2200,100,1244,440,5,84
2201,113,1228,441,1,85
2202,110,1228,441,2,85
2203,116,1228,441,3,85
2204,118,1228,441,4,85
2205,125,1228,441,5,85
2206,120,1238,442,1,84
2207,118,1238,442,2,84
2208,116,1238,442,3,84
2209,115,1238,442,4,84
2210,100,1238,442,5,84
2211,131,1229,443,1,85
2212,129,1229,443,2,85
2213,127,1229,443,3,85
2214,128,1229,443,4,85
2215,123,1229,443,5,85
2216,112,1230,444,1,85
2217,118,1230,444,2,85
2218,119,1230,444,3,85
2219,116,1230,444,4,85
2220,120,1230,444,5,85
2221,126,1231,445,1,85
2222,125,1231,445,2,85
2223,119,1231,445,3,85
2224,110,1231,445,4,85
2225,120,1231,445,5,85
2226,112,1232,446,1,85
2227,115,1232,446,2,85
2228,119,1232,446,3,85
2229,132,1232,446,4,85
2230,107,1232,446,5,85
2231,112,1233,447,1,85
2232,102,1233,447,2,85
2233,105,1233,447,3,85
2234,123,1233,447,4,85
2235,108,1233,447,5,85
2236,110,1234,448,1,85
2237,113,1234,448,2,85
2238,116,1234,448,3,85
2239,117,1234,448,4,85
2240,120,1234,448,5,85
2241,120,1631,449,1,85
2242,102,1631,449,2,85
2243,110,1631,449,3,85
2244,113,1631,449,4,85
2245,118,1631,449,5,85
2246,113,1228,450,1,87
2247,120,1228,450,2,87
2248,110,1228,450,3,87
2249,100,1228,450,4,87
2250,100,1228,450,5,87
2251,102,1229,451,1,87
2252,100,1229,451,2,87
2253,100,1229,451,3,87
2254,100,1229,451,4,87
2255,100,1229,451,5,87
2256,116,1290,452,1,84
2257,102,1290,452,2,84
2258,108,1290,452,3,84
2259,100,1290,452,4,84
2260,100,1290,452,5,84
2261,110,1517,453,1,85
2262,113,1517,453,2,85
2263,120,1517,453,3,85
2264,127,1517,453,4,85
2265,102,1517,453,5,85
2266,113,1228,454,1,86
2267,104,1228,454,2,86
2268,110,1228,454,3,86
2269,116,1228,454,4,86
2270,132,1228,454,5,86
2271,129,1229,455,1,86
2272,131,1229,455,2,86
2273,100,1229,455,3,86
2274,100,1229,455,4,86
2275,100,1229,455,5,86
2276,113,1631,456,1,86
2277,110,1631,456,2,86
2278,120,1631,456,3,86
2279,100,1631,456,4,86
2280,100,1631,456,5,86
2281,111,1365,457,1,86
2282,101,1365,457,2,86
2283,125,1365,457,3,86
2284,100,1365,457,4,86
2285,100,1365,457,5,86
2286,120,1228,458,1,88
2287,110,1228,458,2,88
2288,117,1228,458,3,88
2289,100,1228,458,4,88
2290,100,1228,458,5,88
2291,129,1229,459,1,88
2292,128,1229,459,2,88
2293,100,1229,459,3,88
2294,100,1229,459,4,88
2295,100,1229,459,5,88
2296,120,1230,460,1,88
2297,106,1230,460,2,88
2298,117,1230,460,3,88
2299,125,1230,460,4,88
2300,100,1230,460,5,88
2301,113,1723,461,1,86
2302,110,1723,461,2,86
2303,100,1723,461,3,86
2304,100,1723,461,4,86
2305,100,1723,461,5,86
