	_id	category	counts	completions	average	broad_cats	predicted_cats	match?
0	figshare11752752	Virus Factors	8	12	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
1	figshare11806065	Pharmaceutical Treatments	8	12	0.6666666666666666	Treatment	['Treatment']	True
2	figshare11848224	Virus Factors	8	10	0.8	Mechanism	['Mechanism', 'Transmission', 'Forecasting']	True
3	figshare11860929	Viral Shedding / Persistence	8	10	0.8	Transmission	['Transmission', 'Diagnosis']	True
4	figshare11860929	Virus Detection	7	10	0.7	Diagnosis	['Transmission', 'Diagnosis']	True
5	figshare11954889	Virus Factors	6	9	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
7	figshare11988057	Virus Detection	6	8	0.75	Diagnosis	['Diagnosis']	True
8	figshare11993181	Mechanism of Infection	6	7	0.8571428571428571	Mechanism	['Mechanism', 'Treatment']	True
9	figshare11993181	Virus Factors	6	7	0.8571428571428571	Mechanism	['Mechanism', 'Treatment']	True
10	figshare11997969	Transmission	8	10	0.8	Transmission	['Transmission', 'Forecasting', 'Environment']	True
11	figshare12011940	Mechanism	5	7	0.7142857142857143	Mechanism	['Mechanism', 'Treatment']	True
13	figshare12015477	Forecasting	4	6	0.6666666666666666	Forecasting	['Transmission', 'Prevention', 'Forecasting', 'Environment']	True
14	figshare12019035	Host Factors	5	5	1.0	Mechanism	['Mechanism', 'Treatment']	True
16	figshare12028257	Virus Factors	3	4	0.75	Mechanism	['Mechanism']	True
17	figshare12028266	Virus Factors	4	5	0.8	Mechanism	['Mechanism']	True
18	figshare12030297	Behavioral Research	4	6	0.6666666666666666	Behavioral Research	['Prevention', 'Behavioral Research', 'Information Sciences']	True
20	figshare12032730	Virus Factors	4	5	0.8	Mechanism	['Mechanism', 'Transmission', 'Treatment', 'Environment']	True
22	figshare12043683	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
23	figshare12043686	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
24	figshare12043689	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
25	figshare12043692	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
26	figshare12043695	Virus Factors	6	7	0.8571428571428571	Mechanism	['Mechanism', 'Treatment']	True
27	figshare12043698	Virus Factors	4	5	0.8	Mechanism	['Mechanism', 'Treatment']	True
28	figshare12043701	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
29	figshare12043704	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
30	figshare12043707	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
31	figshare12043713	Virus Factors	4	4	1.0	Mechanism	['Mechanism', 'Treatment']	True
32	figshare12043719	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
33	figshare12043722	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
34	figshare12043725	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
35	figshare12043728	Virus Factors	4	5	0.8	Mechanism	['Mechanism', 'Treatment']	True
36	figshare12043731	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
37	figshare12043734	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
38	figshare12043737	Virus Factors	4	5	0.8	Mechanism	['Mechanism', 'Treatment']	True
39	figshare12043740	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
40	figshare12043743	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
41	figshare12043746	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
43	figshare12043749	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
44	figshare12043749	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
45	figshare12043752	Biologics	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
46	figshare12043752	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
47	figshare12043758	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
48	figshare12043761	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
49	figshare12043764	Virus Factors	3	4	0.75	Mechanism	['Mechanism', 'Treatment']	True
50	figshare12044754	Vaccines	4	4	1.0	Treatment	['Mechanism', 'Treatment']	True
51	figshare12053070	Immunological Response	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
52	figshare12053070	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
56	figshare12057951	Symptoms	2	3	0.6666666666666666	Diagnosis	['Diagnosis', 'Treatment']	True
57	figshare12063372	Treatment	3	3	1.0	Treatment	['Mechanism', 'Treatment']	True
58	figshare12082035	Virus Factors	3	3	1.0	Mechanism	['Mechanism', 'Transmission', 'Environment']	True
60	figshare12082035	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Transmission', 'Environment']	True
61	figshare12082035	Host/Intermediate Reservoirs	2	3	0.6666666666666666	Transmission	['Mechanism', 'Transmission', 'Environment']	True
63	figshare12095616	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Prevention']	True
64	figshare12097659	Repurposing	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
65	figshare12097659	Virus Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
66	figshare12102264	Immunological Response	3	3	1.0	Mechanism	['Mechanism', 'Treatment']	True
67	figshare12102954	Behavioral Research	3	3	1.0	Behavioral Research	['Behavioral Research']	True
68	figshare12106737	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
69	figshare12106737	Vaccines	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
70	figshare12107157	Treatment	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
73	figshare12111570	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Treatment']	True
74	figshare12111570	Repurposing	2	3	0.6666666666666666	Treatment	['Treatment']	True
77	figshare12115095	Immunological Response	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
78	figshare12115095	Pharmaceutical Treatments	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
80	figshare12123681	Public Health Interventions	3	3	1.0	Prevention	['Transmission', 'Prevention', 'Forecasting', 'Environment', 'Information Sciences']	True
82	figshare12124401	Host Factors	2	3	0.6666666666666666	Mechanism	['Mechanism', 'Treatment']	True
83	figshare12124401	Treatment	2	3	0.6666666666666666	Treatment	['Mechanism', 'Treatment']	True
