_id	category	counts	completions	average	broad_cats	predicted_cats	Curator_or_Algorithm	name	description
figshare11961063	Clinical	4	5	0.8	Clinical	['Information Sciences']	Both	"Dimensions COVID-19 publications, datasets and clinical trials"	"This file contains all relevant publications, datasets and clinical trials from Dimensions that are related to COVID-19. The content has been exported from Dimensions using a query in the openly accessible Dimensions application, which you can access at <a href=""https://covid-19.dimensions.ai/"">https://covid-19.dimensions.ai/</a>.		 	 Dimensions is updated once every 24 hours, so the latest research can be viewed alongside existing information. With its range of research outputs including datasets and clinical trials, both of which are just as important as journal articles in the face of a potential pandemic, Dimensions is a one-stop shop for all COVID-19 related information.    Please share this information with anyone you think would benefit from it. If you have any suggestions as to how we can improve our search terms to maximise the volume of research related to COVID-19, please contact us at <a href=""mailto:support@dimensions.ai"">support@dimensions.ai</a>. "
figshare12015477	Epidemiology	4	6	0.666666667	Epidemiology	"['Transmission', 'Prevention', 'Forecasting', 'Environment']"	Both	Algorithm	"This image reports a Maximum Entropy model that estimates <em>suitable </em>locations for COVID-19 spread, i.e. places that could favour the spread of the virus just in terms of environmental parameters. 

The model was trained just on locations in <em>Italy </em>that have reported a rate of new infections higher than the geometric mean of all Italian infection rates. The following environmental parameters were used, which are correlated to those used by other studies: 

<ul>
	<li>Average Annual Surface Air Temperature in 2018 (NASA)</li>
	<li>Average Annual Precipitation in 2018 (NASA)</li>
	<li>CO2 emission (natural+artificial) averaged between January 1979 and December 2013 (Copernicus Atmosphere Monitoring Service)</li>
	<li>Elevation (NOAA ETOPO2)</li>
	<li>Population per 0.5° cell (NASA Gridded Population of the World)</li>
</ul>

A higher resolution map, the model file (in ASC format) and all parameters used are also attached. 

The model indicates highest correlation with <em>infection rate</em> for CO2 around 0.03 gCm^−2day^−1, for Temperature around 11.8 °C, and for Precipitation around 0.3 kg m^-2  s^-1, whereas Elevation and Population density are poorly correlated with <em>infection rate</em>. 

<strong>One interesting result is that the model indicates, among others, the Hubei region in China as a high-probability location</strong>, <strong>and Iran (around Teheran) as a suited location for virus' spread, but the model was not trained on these regions, i.e. it did not know about the actual spread in these regions.</strong> "
figshare12019035	Risk Factors	4	5	0.8	Clinical	"['Mechanism', 'Treatment']"	Both	Why blood group A individuals are at risk whereas blood group O individuals might be protected from SARS-CoV-2 (COVID-19) infection: A hypothesis regarding how the virus invades the human body via ABO(H) blood group-determining carbohydrates	"Infection does not mean disease because for uncountable reasons the invasion of a pathogen does not always lead to disease
symptoms. The molecular biology of a virus infection pathogenesis determines the genetic target and the human phenotype-determining enzymes decide about the difference between infection and disease. In the case that <i>O</i>-glycosylation plays a key role in the pathogenesis of coronavirus infections, as was discussed already 14 years ago in a SARS-CoV virus infection and is currently again predicted for SARS-CoV-2 or COVID-19, this would involve the formation of hybrid, serologically A-like, <i>O</i>-GalNAcα1-Ser/Thr-R, Tn (“T nouvelle”) antigenic structures. Although the ACE2 (angiotensin-converting-enzyme 2) protein is defined as the primary SARS-CoV receptor, it is the history of the amino acid serine, suggesting the actual or additional binding via an intermediate hybrid <i>O</i>-glycan: the TMPRSS2 (transmembrane protease serine subtype 2) host protease-mobilized, virus-encoded serine molecule gets access to the host's N-acetyl-D-galactosamine (GalNAc) metabolism and the resulting intermediate, hybrid A-like/Tn structure performs the adhesion of the virus to host cells primarily independent of the ABO blood group, while the phenotype-determining sugars become the final glycosidic target. Individuals with blood group A and B cannot respond with preformed innate antibodies to the synthesis of A-like/Tn structures due to phenotypic accommodation of plasma proteins but perform a further (blood group-A- and/or B-specific) hybrid binding, most likely causing autoimmune reactions. A first statistical study suggests that people with blood group A have a significantly higher risk for acquiring COVID-19, whereas people with blood group O have a significantly lower risk for the infection compared with non-O blood groups (Zhao, J. <i>et al., 2020). </i>SARS-Cov-2 (COVID-19) infections may be considered an evolutionary selective disease, contributing to the present-day world distribution of the human ABO(H) blood groups, which has arisen through blood group-related life-threatening
diseases<sup> </sup>over millions of years. While the synthesis of the blood group AB enables the strongest contact with a pathogen and molecularly precluding any isoagglutinin activity, makes this group the least protected and the smallest among the ABO blood groups, blood group O(H) individuals develop the least contact with the pathogen; maintaining the isoagglutinins, they rarer develop severe disease and survive this coevolution in an immunological balance with a pathogen as the largest blood group worldwide. However, it might be speculated that for an unknown period of time they remain pathogen carriers and belong to the main drivers of SARS-CoV-2 pandemic. <i> </i>  <b>Reference</b>: Zhao, J. <i>et al.</i> Relationship between the ABO Blood Group and the COVID-19 Susceptibility. <i>medRxiv</i> (2020) doi:10.1101/2020.03.11.20031096.   

   

    "
figshare12030363	Epidemiology	3	3	1	Epidemiology	"['Forecasting', 'Information Sciences']"	Both	Using country-level variables to classify countries according to the number of confirmed COVID-19 cases: An unsupervised machine learning approach	These are:<div>1. Datasets used in the analysis</div><div>2. Codes for the analysis </div>
figshare12033387	Epidemiology	3	4	0.75	Epidemiology	['Prevention']	Curator	COVID-19 en Sudamérica: Casos totales	Epidemiological indicators of COVID-19 in South America.
figshare12043746	Virus Detection	2	3	0.666666667	Diagnosis	"['Mechanism', 'Treatment']"	Algorithm--Mechanism	Raw diffraction data for structure of SARS-CoV-2 main protease with Z1741969146 (ID: mpro-x0991 / PDB: 5RF2)	"Raw diffraction data for mpro-x0991 / PDB ID 5RF2 (see: https://www.ebi.ac.uk/pdbe/entry/pdb/5RF2) - SARS-CoV-2 main protease in complex with Z1741969146 (SMILES:Cl.CCC(=N)N) collected as part of an XChem crystallographic fragment screening campaign. The deposited structure was automatically processed with standard Diamond tools and PanDDA, however the raw data are being made available to allow reanalysis by any interested party. 

For more details see: https://www.diamond.ac.uk/covid-19/for-scientists/Main-protease-structure-and-XChem.html"
figshare12057951	Immunological Response	2	3	0.666666667	Mechanism	"['Diagnosis', 'Treatment']"	Curator	Dynamic change of lymphocyte count in COVID-19 patients	"Lymphopenia is associated with COVID-19 severity. Herein we describe the
dynamic changes in lymphocyte count during hospitalization and explore a
possible association with the severity of COVID-19.In this retrospective study, 13 non-severe COVID-19 patients diagnosed at
admission were enrolled. One patient progressed to severe disease. Dynamic
changes in lymphocyte count and CT score of all patients were analyzed. "
figshare12082035	Classical epidemiology	2	3	0.666666667	Epidemiology	"['Mechanism', 'Transmission', 'Environment']"	Algorithm	The codon usage pattern of the novel coronavirus	"The current outbreak of a novel <a>coronavirus </a>(severe acute respiratory syndrome coronavirus 2, SARS-CoV-2) is spreading rapidly across the whole world. The World Health Organization has declared the coronavirus diseases (COVID-19) to be a global pandemic. COVID-19 is milder, less fatal than SARS and MERS, but SARS-CoV-2 poses more serious threats to public health, because it is highly contagious and has a high potential of causing severe-acute, life-threatening pneumonia. Here we analyzed the similarities of codon usages between humans and different viruses, including human immunodeficiency virus (HIV), highly pathogenic avian influenza (HPAI), and coronavirus (CoV). The codon usages of HPAIs are highly similar to that of humans. In contrast, the codon usage of HIVs and CoVs is less and the codon usage of SARS-CoV-2 is the least similar to that of humans among all viruses tested. Besides, human-preferred codons are adopted to substitute less-preferred ones in SARS-CoV; in SARS-CoV-2, however, human-preferred codons are replaced by less-preferred ones.
The unique codon usage pattern suggests that SARS-CoV-2 was probably formed by evolving in an unusual intermediate host over a long period, in which its codon usage became drastically
different from that of humans and those of other pathogenic viruses. Moreover, its pathogenicity is weakened compared with SARS-CoV, but it becomes more potent and may gain higher potentials in the future. Therefore, there is an urgent need to block the transmission routes among humans, search for the origin and intermediate hosts of the coronaviruses, and prevent any future outbreaks."
figshare12084108	Pathology/Radiology	2	3	0.666666667	Diagnosis	['Mechanism']	Algorithm	g6pd_sars-cov-2.json	Facts related to G6PD and COVID-19 Pathogenesis
figshare12110037	Epidemiology	2	3	0.666666667	Epidemiology	['Information Sciences']	Algorithm	[Bibliography] Coronaviruses • SARS • MERS • COVID-19	"<strong>Contents</strong> 

  

<a href=""#_Toc37364954"">Coronaviruses in general. 3</a> 

<a href=""#_Toc37364955"">SARS-Cov • Severe Acute Respiratory Syndrome coronavirus. 6</a> 

<a href=""#_Toc37364956"">Traditional Chinese medicine. 11</a> 

<a href=""#_Toc37364957"">MERS-CoV • Middle East Respiratory Syndrome coronavirus. 21</a> 

<a href=""#_Toc37364958"">SARSr-CoV • Severe acute respiratory syndrome-related coronaviruses. 23</a> 

<a href=""#_Toc37364959"">COVID-19 • SARS-CoV-2 • 2019-nCoV. 31</a> 

<a href=""#_Toc37364960"">Case reporting websites. 31</a> 

<a href=""#_Toc37364961"">Daily reports WHO • NHC PRC • Health Commission of Hubei Province. 34</a> 

<a href=""#_Toc37364962"">Bibliographies • Living Papers. 34</a> 

<a href=""#_Toc37364963"">Syllabi • Teaching Tools. 34</a> 

<a href=""#_Toc37364964"">COVID-19 Research & Development. 35</a> 

<a href=""#_Toc37364965"">Biomedical, epidemiological, genetic studies. 36</a> 

<a href=""#_Toc37364966"">Websites collecting scientific information.. 36</a> 

<a href=""#_Toc37364967"">Virology • Phylogeny and Genome of SARS-like betacoronaviruses. 38</a> 

<a href=""#_Toc37364968"">Epidemiology • Transmission • Modelling • Testing. 65</a> 

<a href=""#_Toc37364969"">Clinical disease • pathology • pathophysiology. 82</a> 

<a href=""#_Toc37364970"">Treatment options • vaccines. 92</a> 

<a href=""#_Toc37364971"">Retractions • Withdrawals. 98</a> 

<a href=""#_Toc37364972"">Guidelines • Guidance for COVID-19. 100</a> 

<a href=""#_Toc37364973"">Traditional Chinese medicine. 102</a> 

<a href=""#_Toc37364974"">Press reports. 108</a> 

<a href=""#_Toc37364975"">Updating thematic lists of news outlets. 108</a> 

<a href=""#_Toc37364976"">News articles. 109</a> 

<a href=""#_Toc37364977"">Sociocultural reactions • arts • social sciences • social anthropology. 129</a> 

<a href=""#_Toc37364978"">Pandemic memes. 136</a> 

<a href=""#_Toc37364979"">Rumours • disinformation • propaganda war. 139</a> 

<a href=""#_Toc37364980"">Anti-racist stance.. 139</a> 

<a href=""#_Toc37364981"">Notification on false information.. 139</a> 

<a href=""#_Toc37364982"">Discussion of propaganda articles • Infodemic • Desinformation.. 140</a> 

<a href=""#_Toc37364983"">Enfer • Propaganda articles. 143</a> 

  "
