	_id	category	counts	completions	average	broad_cats	predicted_cats	match?
6	figshare11961063	Clinical	4	5	0.8	Clinical	['Information Sciences']	False
12	figshare12015477	Epidemiology	4	6	0.6666666666666666	Epidemiology	['Transmission', 'Prevention', 'Forecasting', 'Environment']	False
15	figshare12019035	Risk Factors	4	5	0.8	Clinical	['Mechanism', 'Treatment']	False
19	figshare12030363	Epidemiology	3	3	1.0	Epidemiology	['Forecasting', 'Information Sciences']	False
21	figshare12033387	Epidemiology	3	4	0.75	Epidemiology	['Prevention']	False
42	figshare12043746	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Mechanism', 'Treatment']	False
55	figshare12057951	Immunological Response	2	3	0.6666666666666666	Mechanism	['Diagnosis', 'Treatment']	False
59	figshare12082035	Classical epidemiology	2	3	0.6666666666666666	Epidemiology	['Mechanism', 'Transmission', 'Environment']	False
62	figshare12084108	Pathology/Radiology	2	3	0.6666666666666666	Diagnosis	['Mechanism']	False
71	figshare12110037	Epidemiology	2	3	0.6666666666666666	Epidemiology	['Information Sciences']	False
72	figshare12110118	Behavioral Research	2	3	0.6666666666666666	Behavioral Research	['Prevention']	False
75	figshare12114945	Classical epidemiology	3	3	1.0	Epidemiology	['Forecasting', 'Information Sciences']	False
76	figshare12114996	Public Health Interventions	2	3	0.6666666666666666	Prevention	['Information Sciences']	False
79	figshare12122007	Risk Factors	2	3	0.6666666666666666	Clinical	['Treatment', 'Behavioral Research']	False
81	figshare12123681	Classical epidemiology	2	3	0.6666666666666666	Epidemiology	['Transmission', 'Prevention', 'Forecasting', 'Environment', 'Information Sciences']	False
84	figshare12128214	Behavioral Research	2	3	0.6666666666666666	Behavioral Research	['Prevention']	False
85	figshare12129507	Clinical	2	3	0.6666666666666666	Clinical	['Information Sciences']	False
86	figshare12129507	Symptoms	2	3	0.6666666666666666	Diagnosis	['Information Sciences']	False
87	figshare12130980	Behavioral Research	2	3	0.6666666666666666	Behavioral Research	['Prevention', 'Environment', 'Information Sciences']	False
90	figshare12143139	Classical epidemiology	3	3	1.0	Epidemiology	['Prevention']	False
91	figshare12148518	Behavioral Research	2	3	0.6666666666666666	Behavioral Research	['Prevention']	False
92	figshare12152967	Diagnosis	3	3	1.0	Diagnosis	['Information Sciences']	False
93	figshare12152973	Classical epidemiology	2	3	0.6666666666666666	Epidemiology	['Information Sciences']	False
94	figshare12152976	Classical epidemiology	3	3	1.0	Epidemiology	['Information Sciences']	False
97	figshare12160998	Diagnosis	2	3	0.6666666666666666	Diagnosis	['Mechanism']	False
99	figshare12160998	Virus Detection	2	3	0.6666666666666666	Diagnosis	['Mechanism']	False
