	outbreakid	category	counts	completions	average
0	figshare11752752	Virus Factors	8	12	0.6666666666666666
15	figshare11806065	Pharmaceutical Treatments	8	12	0.6666666666666666
22	figshare11848224	Virus Factors	8	10	0.8
37	figshare11860929	Viral Shedding / Persistence	8	10	0.8
38	figshare11860929	Virus Detection	7	10	0.7
73	figshare11954889	Virus Factors	6	9	0.6666666666666666
85	figshare11961063	Clinical	4	5	0.8
93	figshare11988057	Virus Detection	6	8	0.75
102	figshare11993181	Mechanism of Infection	6	7	0.8571428571428571
103	figshare11993181	Virus Factors	6	7	0.8571428571428571
114	figshare11997969	Transmission	8	10	0.8
144	figshare12011940	Mechanism	5	7	0.7142857142857143
153	figshare12015477	Epidemiology	4	6	0.6666666666666666
154	figshare12015477	Forecasting	4	6	0.6666666666666666
165	figshare12019035	Host Factors	5	5	1.0
166	figshare12019035	Risk Factors	4	5	0.8
188	figshare12028257	Virus Factors	3	4	0.75
194	figshare12028266	Virus Factors	4	5	0.8
206	figshare12030297	Behavioral Research	4	6	0.6666666666666666
211	figshare12030363	Epidemiology	3	3	1.0
213	figshare12032730	Virus Factors	4	5	0.8
219	figshare12033387	Epidemiology	3	4	0.75
236	figshare12043683	Virus Factors	3	3	1.0
240	figshare12043686	Virus Factors	3	4	0.75
244	figshare12043689	Virus Factors	3	3	1.0
249	figshare12043692	Virus Factors	3	3	1.0
252	figshare12043695	Virus Factors	6	7	0.8571428571428571
257	figshare12043698	Virus Factors	4	5	0.8
261	figshare12043701	Virus Factors	3	4	0.75
266	figshare12043704	Virus Factors	3	4	0.75
270	figshare12043707	Virus Factors	3	4	0.75
275	figshare12043713	Virus Factors	4	4	1.0
279	figshare12043719	Virus Factors	3	4	0.75
286	figshare12043722	Virus Factors	3	4	0.75
291	figshare12043725	Virus Factors	3	4	0.75
296	figshare12043728	Virus Factors	4	5	0.8
301	figshare12043731	Virus Factors	3	4	0.75
306	figshare12043734	Virus Factors	3	4	0.75
312	figshare12043737	Virus Factors	4	5	0.8
318	figshare12043740	Virus Factors	3	4	0.75
322	figshare12043743	Virus Factors	2	3	0.6666666666666666
326	figshare12043746	Biologics	2	3	0.6666666666666666
327	figshare12043746	Virus Detection	2	3	0.6666666666666666
330	figshare12043749	Biologics	2	3	0.6666666666666666
331	figshare12043749	Virus Factors	2	3	0.6666666666666666
334	figshare12043752	Biologics	2	3	0.6666666666666666
335	figshare12043752	Virus Factors	2	3	0.6666666666666666
338	figshare12043758	Virus Factors	2	3	0.6666666666666666
342	figshare12043761	Virus Factors	3	4	0.75
346	figshare12043764	Virus Factors	3	4	0.75
351	figshare12044754	Vaccines	4	4	1.0
363	figshare12053070	Immunological Response	3	3	1.0
364	figshare12053070	Host Factors	2	3	0.6666666666666666
368	figshare12055860	Public Health Interventions	3	3	1.0
369	figshare12055860	Forecasting	2	3	0.6666666666666666
374	figshare12057951	Immunological Response	2	3	0.6666666666666666
375	figshare12057951	Symptoms	2	3	0.6666666666666666
378	figshare12063372	Treatment	3	3	1.0
382	figshare12082035	Virus Factors	3	3	1.0
383	figshare12082035	Classical epidemiology	2	3	0.6666666666666666
384	figshare12082035	Host Factors	2	3	0.6666666666666666
385	figshare12082035	Host/Intermediate Reservoirs	2	3	0.6666666666666666
389	figshare12084108	Pathology/Radiology	2	3	0.6666666666666666
396	figshare12095616	Public Health Interventions	2	3	0.6666666666666666
400	figshare12097659	Repurposing	2	3	0.6666666666666666
401	figshare12097659	Virus Factors	2	3	0.6666666666666666
406	figshare12102264	Immunological Response	3	3	1.0
411	figshare12102954	Behavioral Research	3	3	1.0
412	figshare12106737	Immunological Response	2	3	0.6666666666666666
413	figshare12106737	Vaccines	2	3	0.6666666666666666
418	figshare12107157	Treatment	2	3	0.6666666666666666
425	figshare12110037	Epidemiology	2	3	0.6666666666666666
